Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_es1IID   ,"(80.99, 1.29)","(81.57, 1.15)","(85.09, 0.56)","(85.12, 0.5)","(54.13, 0.64)","(52.43, 0.59)","(54.68, 0.29)","(76.65, 0.03)","(54.68, 0.29)"
ifl_es1Text  ,"(77.56, 0.92)","(77.73, 0.85)","(81.57, 0.16)","(81.53, 0.16)","(52.94, 0.92)","(51.16, 0.93)","(57.41, 0.36)","(75.03, 0.08)","(57.43, 0.35)"
ifl_es1Audio ,"(80.76, 0.85)","(80.75, 0.86)","(83.82, 0.22)","(83.95, 0.23)","(53.61, 0.55)","(51.11, 0.46)","(56.81, 0.41)","(78.59, 0.12)","(56.78, 0.39)"
ifl_es1Vision,"(81.08, 0.41)","(81.07, 0.41)","(83.39, 0.27)","(83.53, 0.27)","(53.49, 0.63)","(51.27, 0.64)","(56.05, 0.45)","(78.42, 0.11)","(56.07, 0.43)"
ifl_es1TAV   ,"(77.36, 0.61)","(77.35, 0.62)","(81.31, 0.3)","(81.47, 0.3)","(52.99, 0.95)","(50.68, 0.94)","(57.72, 0.48)","(76.25, 0.14)","(57.72, 0.47)"
ifl_es1IID   ,"(79.98, 1.25)","(80.69, 1.12)","(84.91, 0.53)","(85.0, 0.47)","(54.05, 0.49)","(52.31, 0.39)","(54.71, 0.26)","(76.8, 0.14)","(54.71, 0.25)"
ifl_es1Text  ,"(76.27, 0.91)","(76.5, 0.89)","(81.15, 0.21)","(81.14, 0.22)","(53.0, 0.11)","(51.18, 0.04)","(57.32, 0.14)","(75.04, 0.21)","(57.36, 0.16)"
ifl_es1Audio ,"(80.54, 0.31)","(80.52, 0.33)","(84.36, 0.18)","(84.45, 0.15)","(53.56, 0.35)","(50.96, 0.25)","(56.45, 0.4)","(78.75, 0.17)","(56.42, 0.4)"
ifl_es1Vision,"(81.0, 0.6)","(80.99, 0.62)","(84.03, 0.17)","(84.13, 0.15)","(53.69, 0.77)","(51.38, 0.67)","(55.49, 0.47)","(78.8, 0.3)","(55.46, 0.43)"
ifl_es1TAV   ,"(77.07, 0.5)","(77.03, 0.54)","(81.74, 0.21)","(81.85, 0.18)","(53.58, 0.65)","(51.14, 0.55)","(57.36, 0.44)","(76.39, 0.17)","(57.34, 0.43)"
ifl_es1IID   ,"(81.94, 1.33)","(82.43, 1.2)","(85.68, 0.39)","(85.67, 0.36)","(53.9, 0.71)","(52.19, 0.81)","(54.76, 0.64)","(76.72, 0.06)","(54.76, 0.63)"
ifl_es1Text  ,"(78.17, 1.53)","(78.31, 1.45)","(81.72, 0.43)","(81.68, 0.41)","(52.3, 0.81)","(50.52, 0.94)","(57.69, 0.71)","(75.03, 0.11)","(57.67, 0.71)"
ifl_es1Audio ,"(81.18, 0.82)","(81.17, 0.81)","(83.93, 0.06)","(84.07, 0.05)","(53.61, 0.38)","(51.06, 0.52)","(57.1, 0.55)","(78.52, 0.19)","(57.11, 0.51)"
ifl_es1Vision,"(81.5, 0.7)","(81.5, 0.7)","(83.56, 0.29)","(83.69, 0.29)","(53.09, 0.86)","(50.8, 0.94)","(56.42, 0.55)","(78.45, 0.17)","(56.42, 0.54)"
ifl_es1TAV   ,"(77.89, 1.01)","(77.89, 1.01)","(81.44, 0.04)","(81.61, 0.05)","(53.12, 0.75)","(50.82, 0.74)","(58.12, 0.78)","(76.05, 0.29)","(58.08, 0.79)"
ifl_esIID   ,"(82.21, 1.15)","(82.66, 1.04)","(85.55, 0.31)","(85.53, 0.29)","(54.23, 0.67)","(52.51, 0.64)","(54.65, 0.3)","(76.6, 0.36)","(54.63, 0.3)"
ifl_es1IID   ,"(80.37, 1.35)","(81.01, 1.22)","(85.17, 0.64)","(85.2, 0.59)","(53.77, 0.48)","(51.86, 0.62)","(55.13, 0.63)","(76.56, 0.1)","(55.14, 0.64)"
ifl_es1Text  ,"(76.94, 1.15)","(77.14, 1.1)","(81.49, 0.4)","(81.47, 0.38)","(52.15, 0.84)","(50.11, 0.87)","(58.42, 0.67)","(74.53, 0.1)","(58.42, 0.68)"
ifl_es1Audio ,"(80.56, 0.95)","(80.55, 0.96)","(84.12, 0.28)","(84.24, 0.29)","(53.18, 0.59)","(50.44, 0.73)","(57.55, 0.5)","(78.41, 0.12)","(57.53, 0.5)"
ifl_es1Vision,"(80.71, 0.73)","(80.7, 0.72)","(83.64, 0.18)","(83.77, 0.18)","(53.0, 0.3)","(50.56, 0.46)","(56.88, 0.6)","(78.19, 0.32)","(56.89, 0.59)"
ifl_es1TAV   ,"(76.93, 0.92)","(76.91, 0.94)","(81.51, 0.26)","(81.67, 0.28)","(53.32, 0.62)","(50.76, 0.77)","(58.41, 0.64)","(75.92, 0.19)","(58.41, 0.65)"
ifl_es1IID   ,"(80.33, 0.72)","(80.95, 0.64)","(84.87, 0.2)","(84.89, 0.18)","(54.4, 0.16)","(52.67, 0.18)","(54.62, 0.15)","(76.55, 0.09)","(54.63, 0.15)"
ifl_es1Text  ,"(76.55, 0.8)","(76.75, 0.78)","(80.94, 0.19)","(80.92, 0.18)","(53.18, 0.36)","(51.42, 0.48)","(57.78, 0.19)","(74.6, 0.13)","(57.8, 0.17)"
ifl_es1Audio ,"(80.02, 0.32)","(80.02, 0.32)","(83.57, 0.22)","(83.7, 0.22)","(53.49, 0.31)","(50.93, 0.32)","(57.2, 0.2)","(78.25, 0.27)","(57.19, 0.21)"
ifl_es1Vision,"(80.55, 0.27)","(80.55, 0.27)","(83.14, 0.23)","(83.28, 0.22)","(53.08, 0.18)","(50.82, 0.25)","(56.52, 0.21)","(78.0, 0.22)","(56.51, 0.18)"
ifl_es1TAV   ,"(76.41, 0.24)","(76.4, 0.25)","(80.6, 0.25)","(80.77, 0.24)","(53.59, 0.19)","(51.27, 0.13)","(58.01, 0.24)","(75.75, 0.24)","(58.02, 0.26)"
ifl_es1IID   ,"(81.92, 2.26)","(82.42, 2.02)","(85.53, 0.86)","(85.55, 0.78)","(54.5, 0.27)","(52.74, 0.26)","(54.56, 0.39)","(76.77, 0.05)","(54.55, 0.38)"
ifl_es1Text  ,"(78.43, 2.14)","(78.55, 2.03)","(81.93, 0.54)","(81.89, 0.51)","(53.11, 0.5)","(51.26, 0.41)","(57.36, 0.45)","(75.08, 0.15)","(57.39, 0.48)"
ifl_es1Audio ,"(81.54, 1.25)","(81.52, 1.27)","(84.11, 0.26)","(84.23, 0.27)","(53.75, 0.07)","(51.11, 0.07)","(56.66, 0.41)","(78.7, 0.06)","(56.63, 0.42)"
ifl_es1Vision,"(81.69, 1.11)","(81.67, 1.12)","(83.69, 0.37)","(83.82, 0.36)","(53.6, 0.21)","(51.27, 0.2)","(55.92, 0.5)","(78.55, 0.1)","(55.93, 0.47)"
ifl_es1TAV   ,"(78.2, 1.24)","(78.17, 1.26)","(81.53, 0.35)","(81.69, 0.34)","(53.97, 0.56)","(51.58, 0.49)","(57.45, 0.63)","(76.4, 0.2)","(57.44, 0.63)"
ifl_es1IID   ,"(81.77, 0.62)","(82.29, 0.52)","(85.36, 0.27)","(85.38, 0.21)","(53.92, 0.95)","(52.21, 0.92)","(54.95, 0.43)","(76.48, 0.11)","(54.93, 0.46)"
ifl_es1Text  ,"(78.53, 0.48)","(78.68, 0.42)","(81.85, 0.23)","(81.82, 0.21)","(53.11, 0.99)","(51.23, 0.87)","(57.46, 0.73)","(74.95, 0.13)","(57.44, 0.71)"
ifl_es1Audio ,"(81.27, 0.12)","(81.26, 0.12)","(83.88, 0.53)","(84.01, 0.51)","(53.43, 0.98)","(50.88, 0.89)","(57.17, 0.91)","(78.3, 0.24)","(57.18, 0.87)"
ifl_es1Vision,"(81.49, 0.22)","(81.48, 0.21)","(83.47, 0.26)","(83.6, 0.25)","(52.96, 0.99)","(50.71, 0.9)","(56.39, 0.98)","(78.18, 0.19)","(56.44, 0.91)"
ifl_es1TAV   ,"(78.06, 0.08)","(78.05, 0.08)","(81.51, 0.38)","(81.67, 0.36)","(53.37, 1.29)","(50.97, 1.16)","(57.98, 0.86)","(75.86, 0.12)","(57.96, 0.87)"
ifl_es1IID   ,"(80.08, 1.41)","(80.79, 1.26)","(84.84, 0.59)","(84.93, 0.54)","(54.47, 0.2)","(52.77, 0.21)","(54.7, 0.27)","(76.6, 0.18)","(54.69, 0.27)"
ifl_es1Text  ,"(76.95, 1.01)","(77.17, 0.97)","(81.62, 0.48)","(81.61, 0.47)","(53.2, 0.39)","(51.43, 0.45)","(57.12, 0.22)","(75.03, 0.13)","(57.13, 0.22)"
ifl_es1Audio ,"(81.05, 0.6)","(81.03, 0.6)","(84.64, 0.85)","(84.74, 0.82)","(54.17, 0.43)","(51.6, 0.45)","(56.35, 0.4)","(78.65, 0.24)","(56.33, 0.4)"
ifl_es1Vision,"(80.93, 0.58)","(80.91, 0.59)","(83.96, 0.67)","(84.05, 0.63)","(54.3, 0.72)","(52.02, 0.75)","(55.65, 0.55)","(78.33, 0.37)","(55.64, 0.54)"
ifl_es1TAV   ,"(77.35, 0.69)","(77.3, 0.72)","(81.89, 0.64)","(81.99, 0.59)","(54.04, 0.43)","(51.71, 0.37)","(57.26, 0.34)","(76.17, 0.16)","(57.24, 0.34)"
ifl_es1IID   ,"(80.99, 2.17)","(81.59, 1.95)","(85.03, 0.65)","(85.08, 0.58)","(54.39, 0.24)","(52.71, 0.27)","(54.82, 0.28)","(76.53, 0.1)","(54.81, 0.27)"
ifl_es1Text  ,"(77.65, 2.3)","(77.82, 2.21)","(81.45, 0.54)","(81.43, 0.52)","(52.8, 0.08)","(51.02, 0.05)","(57.59, 0.2)","(74.91, 0.16)","(57.64, 0.17)"
ifl_es1Audio ,"(80.89, 1.11)","(80.88, 1.12)","(84.02, 0.23)","(84.13, 0.2)","(53.54, 0.18)","(51.02, 0.11)","(56.79, 0.44)","(78.48, 0.26)","(56.77, 0.43)"
ifl_es1Vision,"(81.28, 0.96)","(81.26, 0.97)","(83.69, 0.3)","(83.81, 0.28)","(53.17, 0.22)","(50.93, 0.22)","(56.06, 0.44)","(78.38, 0.17)","(56.05, 0.43)"
ifl_es1TAV   ,"(77.44, 1.54)","(77.41, 1.58)","(81.23, 0.22)","(81.38, 0.24)","(53.7, 0.35)","(51.41, 0.24)","(57.65, 0.52)","(76.08, 0.17)","(57.64, 0.51)"
ifl_es1IID   ,"(80.68, 1.04)","(81.3, 0.93)","(85.06, 0.21)","(85.1, 0.18)","(54.1, 0.46)","(52.36, 0.49)","(55.02, 0.21)","(76.54, 0.07)","(55.04, 0.2)"
ifl_es1Text  ,"(76.95, 1.26)","(77.16, 1.21)","(81.17, 0.51)","(81.15, 0.5)","(52.77, 0.41)","(50.89, 0.42)","(58.02, 0.4)","(74.79, 0.27)","(58.04, 0.37)"
ifl_es1Audio ,"(80.65, 0.6)","(80.64, 0.6)","(83.92, 0.2)","(84.05, 0.2)","(53.21, 0.08)","(50.66, 0.17)","(57.43, 0.16)","(78.26, 0.15)","(57.42, 0.15)"
ifl_es1Vision,"(80.79, 0.76)","(80.79, 0.76)","(83.45, 0.15)","(83.58, 0.16)","(52.79, 0.23)","(50.47, 0.33)","(56.66, 0.2)","(78.15, 0.13)","(56.65, 0.23)"
ifl_es1TAV   ,"(77.14, 0.65)","(77.12, 0.66)","(81.29, 0.3)","(81.44, 0.29)","(53.06, 0.54)","(50.77, 0.65)","(58.09, 0.19)","(76.02, 0.09)","(58.11, 0.17)"
ifl_es1IID   ,"(81.92, 2.26)","(82.42, 2.02)","(85.53, 0.86)","(85.55, 0.78)","(54.5, 0.27)","(52.74, 0.26)","(54.56, 0.39)","(76.77, 0.05)","(54.55, 0.38)"
ifl_es1Text  ,"(78.43, 2.14)","(78.55, 2.03)","(81.93, 0.54)","(81.89, 0.51)","(53.11, 0.5)","(51.26, 0.41)","(57.36, 0.45)","(75.08, 0.15)","(57.39, 0.48)"
ifl_es1Audio ,"(81.54, 1.25)","(81.52, 1.27)","(84.11, 0.26)","(84.23, 0.27)","(53.75, 0.07)","(51.11, 0.07)","(56.66, 0.41)","(78.7, 0.06)","(56.63, 0.42)"
ifl_es1Vision,"(81.69, 1.11)","(81.67, 1.12)","(83.69, 0.37)","(83.82, 0.36)","(53.6, 0.21)","(51.27, 0.2)","(55.92, 0.5)","(78.55, 0.1)","(55.93, 0.47)"
ifl_es1TAV   ,"(78.2, 1.24)","(78.17, 1.26)","(81.53, 0.35)","(81.69, 0.34)","(53.97, 0.56)","(51.58, 0.49)","(57.45, 0.63)","(76.4, 0.2)","(57.44, 0.63)"
ifl_es1IID   ,"(82.32, 3.55)","(82.67, 3.12)","(85.22, 0.9)","(85.13, 0.75)","(54.91, 0.55)","(53.3, 0.5)","(54.68, 0.34)","(76.33, 0.48)","(54.71, 0.33)"
ifl_es1Text  ,"(78.47, 3.22)","(78.46, 3.02)","(81.07, 0.65)","(80.96, 0.67)","(53.68, 0.29)","(51.85, 0.24)","(57.62, 0.4)","(74.65, 0.59)","(57.64, 0.42)"
ifl_es1Audio ,"(81.03, 1.52)","(80.95, 1.51)","(82.84, 1.19)","(82.97, 1.16)","(53.79, 0.25)","(51.32, 0.2)","(57.62, 0.91)","(78.04, 0.79)","(57.61, 0.89)"
ifl_es1Vision,"(81.06, 1.34)","(80.98, 1.33)","(82.61, 1.04)","(82.73, 1.02)","(53.75, 0.42)","(51.58, 0.39)","(56.71, 0.81)","(78.01, 0.7)","(56.72, 0.85)"
ifl_es1TAV   ,"(77.94, 1.94)","(77.82, 1.94)","(80.31, 1.2)","(80.46, 1.17)","(54.49, 0.37)","(52.26, 0.27)","(58.2, 0.68)","(75.89, 0.56)","(58.18, 0.71)"
ifl_esIID   ,"(81.92, 2.26)","(82.42, 2.02)","(85.53, 0.86)","(85.55, 0.78)","(54.5, 0.27)","(52.74, 0.26)","(54.56, 0.39)","(76.77, 0.05)","(54.55, 0.38)"
ifl_es1IID   ,"(79.27, 3.3)","(79.95, 2.95)","(84.27, 1.12)","(84.31, 0.97)","(53.85, 0.79)","(52.08, 0.84)","(54.97, 0.32)","(76.15, 0.36)","(54.96, 0.33)"
ifl_es1Text  ,"(76.12, 2.61)","(76.26, 2.53)","(80.98, 0.38)","(80.92, 0.35)","(52.85, 1.04)","(50.88, 1.1)","(57.68, 0.34)","(74.39, 0.24)","(57.69, 0.34)"
ifl_es1Audio ,"(79.39, 1.09)","(79.33, 1.15)","(83.2, 0.79)","(83.31, 0.72)","(53.2, 1.03)","(50.6, 1.07)","(57.59, 0.59)","(77.86, 0.3)","(57.59, 0.6)"
ifl_es1Vision,"(79.41, 1.51)","(79.34, 1.59)","(82.71, 0.57)","(82.81, 0.5)","(52.73, 0.93)","(50.38, 0.98)","(56.93, 0.45)","(77.71, 0.57)","(56.94, 0.43)"
ifl_es1TAV   ,"(76.21, 1.52)","(76.11, 1.64)","(80.66, 0.69)","(80.78, 0.58)","(53.41, 0.84)","(50.94, 0.96)","(57.97, 0.55)","(75.55, 0.36)","(57.96, 0.56)"
ifl_es1IID   ,"(82.07, 3.33)","(82.45, 2.9)","(85.03, 0.63)","(84.96, 0.48)","(54.84, 0.24)","(53.18, 0.27)","(54.85, 0.34)","(76.45, 0.09)","(54.84, 0.35)"
ifl_es1Text  ,"(78.73, 2.41)","(78.72, 2.23)","(81.3, 0.89)","(81.18, 1.0)","(53.82, 0.13)","(51.88, 0.23)","(57.7, 0.8)","(74.85, 0.32)","(57.71, 0.78)"
ifl_es1Audio ,"(81.03, 1.21)","(80.95, 1.22)","(83.05, 1.47)","(83.17, 1.44)","(53.65, 0.35)","(51.13, 0.26)","(57.43, 1.14)","(78.5, 0.26)","(57.42, 1.12)"
ifl_es1Vision,"(80.94, 1.1)","(80.86, 1.11)","(82.55, 1.46)","(82.67, 1.43)","(53.4, 0.67)","(51.16, 0.76)","(56.81, 1.35)","(78.26, 0.47)","(56.82, 1.31)"
ifl_es1TAV   ,"(77.7, 1.4)","(77.59, 1.44)","(80.21, 1.69)","(80.36, 1.64)","(54.18, 0.24)","(51.86, 0.4)","(58.38, 1.34)","(75.89, 0.37)","(58.4, 1.31)"
